type,powers
cmp,0.044
cmp,0.041
cmp,0.046
cmp,0.048
cmp,0.047
cmp,0.05
cmp,0.047
cmp,0.046
cmp,0.056
cmp,0.062
cmp,0.056
cmp,0.061
cmp,0.056
cmp,0.061
cmp,0.043
cmp,0.052
cmp,0.056
cmp,0.037
cmp,0.057
cmp,0.057
cmp,0.046
cmp,0.041
cmp,0.045
cmp,0.05
cmp,0.059
cmp,0.057
cmp,0.055
cmp,0.046
cmp,0.067
cmp,0.059
cmp,0.034
cmp,0.046
cmp,0.052
cmp,0.043
cmp,0.046
cmp,0.037
cmp,0.057
cmp,0.065
cmp,0.056
cmp,0.065
cmp,0.057
cmp,0.045
cmp,0.06
cmp,0.046
cmp,0.055
cmp,0.05
cmp,0.048
cmp,0.031
cmp,0.047
cmp,0.052
cmp,0.054
cmp,0.037
cmp,0.051
cmp,0.047
cmp,0.053
cmp,0.061
cmp,0.036
cmp,0.06
cmp,0.061
cmp,0.053
cmp,0.06
cmp,0.059
cmp,0.052
cmp,0.037
cmp,0.044
cmp,0.037
cmp,0.043
cmp,0.065
cmp,0.047
cmp,0.061
cmp,0.038
cmp,0.069
cmp,0.065
cmp,0.053
cmp,0.068
cmp,0.06
cmp,0.04
cmp,0.042
cmp,0.044
cmp,0.051
cmp,0.044
cmp,0.049
cmp,0.054
cmp,0.053
cmp,0.045
cmp,0.048
cmp,0.056
cmp,0.038
cmp,0.048
cmp,0.036
cmp,0.046
cmp,0.044
cmp,0.063
cmp,0.047
cmp,0.044
cmp,0.05
cmp,0.049
cmp,0.034
cmp,0.059
cmp,0.046
cmp,0.045
cmp,0.061
cmp,0.046
cmp,0.048
cmp,0.055
cmp,0.047
cmp,0.05
cmp,0.047
cmp,0.052
cmp,0.057
cmp,0.057
cmp,0.048
cmp,0.042
cmp,0.03
cmp,0.06
cmp,0.048
cmp,0.036
cmp,0.046
cmp,0.052
cmp,0.043
cmp,0.054
cmp,0.055
cmp,0.04
cmp,0.052
cmp,0.046
cmp,0.053
cmp,0.05
cmp,0.033
cmp,0.047
cmp,0.034
cmp,0.058
cmp,0.063
cmp,0.056
cmp,0.048
cmp,0.053
cmp,0.054
cmp,0.05
cmp,0.039
cmp,0.051
cmp,0.045
cmp,0.048
cmp,0.054
cmp,0.049
cmp,0.05
cmp,0.059
cmp,0.047
cmp,0.049
cmp,0.043
cmp,0.044
cmp,0.045
cmp,0.056
cmp,0.038
cmp,0.05
cmp,0.046
cmp,0.054
cmp,0.061
cmp,0.047
cmp,0.054
cmp,0.055
cmp,0.057
cmp,0.056
cmp,0.046
cmp,0.047
cmp,0.046
cmp,0.053
cmp,0.043
cmp,0.051
cmp,0.039
cmp,0.059
cmp,0.047
cmp,0.042
cmp,0.062
cmp,0.056
cmp,0.058
cmp,0.043
cmp,0.031
cmp,0.055
cmp,0.04
cmp,0.034
cmp,0.064
cmp,0.047
cmp,0.058
cmp,0.044
cmp,0.057
cmp,0.045
cmp,0.056
cmp,0.06
cmp,0.046
cmp,0.049
cmp,0.047
cmp,0.052
cmp,0.05
cmp,0.044
cmp,0.057
cmp,0.048
cmp,0.042
cmp,0.053
cmp,0.042
cmp,0.045
cmp,0.041
cmp,0.041
cmp,0.054
cmp,0.049
cmp,0.037
cmp,0.057
cmp,0.053
cmp,0.052
cmp,0.053
cmp,0.045
cmp,0.049
cmp,0.055
cmp,0.054
cmp,0.053
cmp,0.059
cmp,0.058
cmp,0.064
cmp,0.045
cmp,0.051
cmp,0.069
cmp,0.054
cmp,0.051
cmp,0.05
cmp,0.043
cmp,0.041
cmp,0.059
cmp,0.051
cmp,0.042
cmp,0.04
cmp,0.049
cmp,0.053
cmp,0.043
cmp,0.043
cmp,0.049
cmp,0.052
cmp,0.045
cmp,0.06
cmp,0.058
cmp,0.053
cmp,0.041
cmp,0.042
cmp,0.056
cmp,0.061
cmp,0.052
cmp,0.049
cmp,0.063
cmp,0.038
cmp,0.052
cmp,0.059
cmp,0.044
cmp,0.041
cmp,0.046
cmp,0.051
cmp,0.046
cmp,0.038
cmp,0.053
cmp,0.056
cmp,0.041
cmp,0.06
cmp,0.048
cmp,0.042
cmp,0.051
cmp,0.048
cmp,0.05
cmp,0.054
cmp,0.042
cmp,0.042
cmp,0.052
cmp,0.046
cmp,0.046
cmp,0.05
cmp,0.051
cmp,0.06
cmp,0.04
cmp,0.043
cmp,0.049
cmp,0.049
cmp,0.04
cmp,0.048
cmp,0.036
cmp,0.042
cmp,0.051
cmp,0.05
cmp,0.054
cmp,0.046
cmp,0.055
cmp,0.049
cmp,0.051
cmp,0.045
cmp,0.045
cmp,0.056
cmp,0.049
cmp,0.047
cmp,0.041
cmp,0.073
cmp,0.062
cmp,0.061
cmp,0.053
cmp,0.042
cmp,0.043
cmp,0.046
cmp,0.047
cmp,0.052
cmp,0.05
cmp,0.052
cmp,0.049
cmp,0.056
cmp,0.058
cmp,0.041
cmp,0.045
cmp,0.05
cmp,0.048
cmp,0.051
cmp,0.058
cmp,0.061
cmp,0.05
cmp,0.052
cmp,0.037
cmp,0.044
cmp,0.048
cmp,0.048
cmp,0.064
cmp,0.047
cmp,0.06
cmp,0.051
cmp,0.053
cmp,0.053
cmp,0.047
cmp,0.052
cmp,0.041
cmp,0.053
cmp,0.059
cmp,0.044
cmp,0.056
cmp,0.057
cmp,0.054
cmp,0.048
cmp,0.048
cmp,0.056
cmp,0.051
cmp,0.054
cmp,0.061
cmp,0.046
cmp,0.052
cmp,0.049
cmp,0.032
cmp,0.049
cmp,0.06
cmp,0.06
cmp,0.048
cmp,0.048
cmp,0.061
cmp,0.048
cmp,0.052
cmp,0.057
cmp,0.044
cmp,0.053
cmp,0.054
cmp,0.062
cmp,0.072
cmp,0.051
cmp,0.057
cmp,0.062
cmp,0.062
cmp,0.051
cmp,0.048
cmp,0.041
cmp,0.049
cmp,0.047
cmp,0.051
cmp,0.043
cmp,0.059
cmp,0.05
cmp,0.056
cmp,0.05
cmp,0.058
cmp,0.032
cmp,0.046
cmp,0.057
cmp,0.05
cmp,0.055
cmp,0.044
cmp,0.047
cmp,0.046
cmp,0.055
cmp,0.045
cmp,0.043
cmp,0.044
cmp,0.063
cmp,0.054
cmp,0.051
cmp,0.04
cmp,0.044
cmp,0.034
cmp,0.048
cmp,0.045
cmp,0.064
cmp,0.051
cmp,0.052
cmp,0.05
cmp,0.051
cmp,0.044
cmp,0.065
cmp,0.053
cmp,0.049
cmp,0.059
cmp,0.053
cmp,0.048
cmp,0.044
cmp,0.047
cmp,0.035
cmp,0.05
cmp,0.056
cmp,0.047
cmp,0.043
cmp,0.043
cmp,0.056
cmp,0.048
cmp,0.052
cmp,0.057
cmp,0.059
cmp,0.051
cmp,0.044
cmp,0.061
cmp,0.056
cmp,0.052
cmp,0.058
cmp,0.042
cmp,0.063
cmp,0.046
cmp,0.059
cmp,0.042
cmp,0.049
cmp,0.047
cmp,0.062
cmp,0.047
cmp,0.041
cmp,0.058
cmp,0.044
cmp,0.045
cmp,0.045
cmp,0.058
cmp,0.055
cmp,0.044
cmp,0.052
cmp,0.054
cmp,0.039
cmp,0.041
cmp,0.05
cmp,0.048
cmp,0.056
cmp,0.049
cmp,0.051
cmp,0.051
cmp,0.06
cmp,0.059
cmp,0.058
cmp,0.044
cmp,0.052
cmp,0.049
cmp,0.041
cmp,0.054
cmp,0.043
cmp,0.049
cmp,0.049
cmp,0.046
cmp,0.054
cmp,0.05
cmp,0.05
cmp,0.045
cmp,0.044
cmp,0.043
cmp,0.047
cmp,0.036
cmp,0.048
cmp,0.05
cmp,0.056
cmp,0.043
cmp,0.054
cmp,0.043
cmp,0.055
cmp,0.058
cmp,0.053
cmp,0.051
cmp,0.047
cmp,0.056
cmp,0.038
cmp,0.046
cmp,0.036
cmp,0.057
cmp,0.046
cmp,0.046
cmp,0.048
cmp,0.054
cmp,0.045
cmp,0.059
cmp,0.056
cmp,0.05
cmp,0.047
cmp,0.044
cmp,0.046
cmp,0.056
cmp,0.054
cmp,0.051
cmp,0.045
cmp,0.043
cmp,0.048
cmp,0.049
cmp,0.037
cmp,0.06
cmp,0.044
cmp,0.046
cmp,0.052
cmp,0.04
cmp,0.056
cmp,0.057
cmp,0.045
cmp,0.057
cmp,0.065
cmp,0.051
cmp,0.06
cmp,0.06
cmp,0.053
cmp,0.054
cmp,0.037
cmp,0.049
cmp,0.038
cmp,0.064
cmp,0.065
cmp,0.051
cmp,0.053
cmp,0.052
cmp,0.065
cmp,0.061
cmp,0.047
cmp,0.049
cmp,0.056
cmp,0.055
cmp,0.043
cmp,0.05
cmp,0.055
cmp,0.063
cmp,0.057
cmp,0.042
cmp,0.058
cmp,0.059
cmp,0.04
cmp,0.051
cmp,0.055
cmp,0.046
cmp,0.047
cmp,0.054
cmp,0.051
cmp,0.041
cmp,0.051
cmp,0.053
cmp,0.049
cmp,0.036
cmp,0.06
cmp,0.047
cmp,0.042
cmp,0.049
cmp,0.039
cmp,0.049
cmp,0.052
cmp,0.037
cmp,0.039
cmp,0.047
cmp,0.053
cmp,0.061
cmp,0.041
cmp,0.045
cmp,0.052
cmp,0.044
cmp,0.047
cmp,0.056
cmp,0.039
cmp,0.066
cmp,0.033
cmp,0.05
cmp,0.048
cmp,0.044
cmp,0.058
cmp,0.052
cmp,0.039
cmp,0.058
cmp,0.044
cmp,0.061
cmp,0.062
cmp,0.049
cmp,0.052
cmp,0.05
cmp,0.046
cmp,0.039
cmp,0.041
cmp,0.047
cmp,0.05
cmp,0.051
cmp,0.041
cmp,0.051
cmp,0.045
cmp,0.057
cmp,0.05
cmp,0.048
cmp,0.06
cmp,0.048
cmp,0.042
cmp,0.046
cmp,0.067
cmp,0.053
cmp,0.058
cmp,0.042
cmp,0.059
cmp,0.059
cmp,0.05
cmp,0.043
cmp,0.056
cmp,0.049
cmp,0.04
cmp,0.05
cmp,0.039
cmp,0.05
cmp,0.044
cmp,0.052
cmp,0.054
cmp,0.046
cmp,0.051
cmp,0.048
cmp,0.051
cmp,0.051
cmp,0.046
cmp,0.049
cmp,0.043
cmp,0.027
cmp,0.051
cmp,0.041
cmp,0.046
cmp,0.048
cmp,0.055
cmp,0.051
cmp,0.047
cmp,0.049
cmp,0.049
cmp,0.055
cmp,0.05
cmp,0.053
cmp,0.036
cmp,0.057
cmp,0.055
cmp,0.058
cmp,0.04
cmp,0.06
cmp,0.05
cmp,0.059
cmp,0.042
cmp,0.068
cmp,0.043
cmp,0.047
cmp,0.057
cmp,0.046
cmp,0.048
cmp,0.051
cmp,0.043
cmp,0.047
cmp,0.051
cmp,0.046
cmp,0.057
cmp,0.054
cmp,0.051
cmp,0.054
cmp,0.046
cmp,0.038
cmp,0.04
cmp,0.042
cmp,0.054
cmp,0.043
cmp,0.055
cmp,0.054
cmp,0.037
cmp,0.059
cmp,0.06
cmp,0.043
cmp,0.049
cmp,0.043
cmp,0.053
cmp,0.049
cmp,0.052
cmp,0.051
cmp,0.046
cmp,0.047
cmp,0.054
cmp,0.054
cmp,0.041
cmp,0.051
cmp,0.037
cmp,0.036
cmp,0.052
cmp,0.05
cmp,0.052
cmp,0.058
cmp,0.049
cmp,0.048
cmp,0.048
cmp,0.047
cmp,0.059
